indice_tiempo,ipc_ng_nacional,ipc_ng_gba,ipc_ng_pampeana,ipc_ng_nea,ipc_ng_noa,ipc_ng_cuyo,ipc_ng_patagonia,ipc_ng_nacional_tasa_variacion_mensual,ipc_ng_gba_tasa_variacion_mensual,ipc_ng_pampeana_tasa_variacion_mensual,ipc_ng_nea_tasa_variacion_mensual,ipc_ng_noa_tasa_variacion_mensual,ipc_ng_cuyo_tasa_variacion_mensual,ipc_ng_patagonia_tasa_variacion_mensual,ipc_ng_nacional_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_gba_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_pampeana_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_nea_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_noa_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_cuyo_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_patagonia_tasa_variacion_acumulada_dic_ano_anterior
2018-11-01,179.6388,178.877,180.3503,176.4283,179.6479,183.1394,181.1502,0.0315336499618426,0.02888673255686225,0.03283298142049085,0.030238248175182614,0.03270728255408484,0.036610926619094375,0.041884696303743585,0.4394642118792651,0.43056737407149126,0.44314529132121794,0.4428729502264146,0.44512561035450826,0.45893515070162794,0.4672463829156499
2018-12-01,184.2552,183.9381,184.508,180.7718,183.718,187.7085,185.9051,0.02569823445714392,0.02829374374570226,0.02305346872170433,0.02461906621556742,0.02265598428926796,0.024948754882892388,0.026248383937748754,0.4764559006888065,0.47104348076443237,0.4764147961555667,0.4783951349286899,0.47786635347871886,0.4953337661665185,0.5057592293056932
2019-01-01,189.6101,189.1236,189.805,186.9737,189.6231,193.2068,191.5466,0.029062409093474573,0.028191549222265744,0.02870878227502338,0.03430789536863599,0.03214219619198988,0.029291694302602256,0.030346128212727974,0.029062409093474573,0.028191549222265744,0.02870878227502338,0.03430789536863599,0.03214219619198988,0.029291694302602256,0.030346128212727974
2019-02-01,196.7501,196.3597,196.6309,195.4282,197.617,200.5139,197.2864,0.03765622189957196,0.03826122176185298,0.035962698559047324,0.04521758942567855,0.04215678364081166,0.03782009742928305,0.02996555407404755,0.06781301151880648,0.06753141410072194,0.06570392611702469,0.08107680512115278,0.07565399144340779,0.0682196064642786,0.061221020832672
2019-03-01,205.9571,205.7679,205.5131,205.486,207.2604,209.4128,205.753,0.04679540188289599,0.047913090109630296,0.0451719439823548,0.05146544869164216,0.048798433333164803,0.04438046439673249,0.0429152744436514,0.11778175052861473,0.11868014293939111,0.11384384416935855,0.13671490796683972,0.12814422103441148,0.11562768867685813,0.10676361218707808
2019-04-01,213.0517,212.4469,213.0489,212.6973,214.7732,216.4238,213.0509,0.03444697949233122,0.03245890150990505,0.03666822212306653,0.03509387500851657,0.03624812072156569,0.03347932886623939,0.035469227666182324,0.1562859555659759,0.15499127152014736,0.15468651765777097,0.1766066388673455,0.1690373289498035,0.1529781549583531,0.14601966272038802
2019-05-01,219.5691,218.8793,219.3378,218.6002,223.0958,222.662,220.3443,0.030590696999836187,0.030277683505854913,0.029518575312991402,0.027752585481809033,0.03875064486630553,0.028824001796475374,0.0342331339600066,0.19165754887786068,0.18996173169125918,0.18877121859214774,0.20926051519097544,0.21433827931939176,0.18621159936816944,0.18525150735509666
2019-06-01,225.537,224.6105,225.5013,224.9806,229.3958,228.5075,226.4422,0.02718005402399526,0.026184294266291985,0.028100491570536512,0.029187530478014256,0.028238989707560558,0.026252795717275346,0.027674416810419045,0.22404686543446273,0.22112003983948947,0.2221762741994926,0.2445558433339714,0.24862996549058902,0.21735297016384458,0.21805265159481912
2019-07-01,230.494,229.4286,230.5038,229.1739,233.932,234.9103,232.2018,0.02197865538692101,0.021450911689346652,0.022183907587229212,0.018638495941427857,0.019774555593432774,0.028020086868046024,0.025435188317371793,0.25094976966728755,0.24731417797617783,0.24928891972163814,0.2677524923688317,0.2733210681588085,0.25146330613690915,0.24903405016860747
2019-08-01,239.6077,238.3069,239.3972,239.3993,243.6348,245.1846,242.0023,0.03953985787048686,0.038697442254366,0.038582444193978604,0.044618518950020114,0.04147701041328267,0.04373712008370845,0.04220682182480928,0.3004121457630504,0.2955820463514629,0.29748953974895387,0.3243177309735257,0.3261346193622836,0.3061987070377741,0.3017518077771937
